Landcover,NEP,Livestock Resp.,Conversion Flux,Ag. Products,10-yr Products,100-yr Products,NCE,totprdfc,NCE_Calc,totprdfc_calc,vegc
Trees,48.24,0,0,0,0,0,48.24,0,48.24,0,28694.72
Grass,-8.21,0,0,0,0,0,-8.21,0,-8.21,0,318.39
Shrubs,-2.96,0,0,0,0,0,-2.96,0,-2.96,0,767.25
Crops,297.91,0,0,5.75,0,0.32,291.84,6.07,291.84,6.07,189.64
Pasture,7.01,0,0,0,0,0,7.01,0,7.01,0,8000.2
Other,-0.05,0,0,0,0,0,-0.05,0,-0.05,0,1988.3
Total,341.94,0,0,5.75,0,0.32,335.87,6.07,335.87,6.07,39958.51
